Feature,Correlation_with_SalePrice
SalePrice,1.0
OverallQual,0.7909816005838053
GrLivArea,0.7086244776126515
GarageCars,0.6404091972583519
GarageArea,0.6234314389183622
TotalBsmtSF,0.6135805515591943
1stFlrSF,0.6058521846919153
FullBath,0.5606637627484453
TotRmsAbvGrd,0.5337231555820284
YearBuilt,0.5228973328794967
YearRemodAdd,0.5071009671113866
GarageYrBlt,0.4863616774878596
MasVnrArea,0.47749304709571444
Fireplaces,0.46692883675152763
BsmtFinSF1,0.3864198062421535
LotFrontage,0.35179909657067737
WoodDeckSF,0.32441344456812926
2ndFlrSF,0.31933380283206736
OpenPorchSF,0.31585622711605504
HalfBath,0.28410767559478256
LotArea,0.2638433538714051
BsmtFullBath,0.22712223313149427
BsmtUnfSF,0.21447910554696928
BedroomAbvGr,0.16821315430073963
KitchenAbvGr,0.13590737084214105
EnclosedPorch,0.1285779579259566
ScreenPorch,0.11144657114291112
PoolArea,0.09240354949187318
MSSubClass,0.08428413512659509
OverallCond,0.07785589404867797
MoSold,0.046432245223819446
3SsnPorch,0.04458366533574838
YrSold,0.028922585168736813
LowQualFinSF,0.02560613000067955
Id,0.021916719443430967
MiscVal,0.021189579640303213
BsmtHalfBath,0.01684415429735895
BsmtFinSF2,0.011378121450215146
