Feature,Train_Missing_Count,Train_Missing_Percent,Test_Missing_Count,Test_Missing_Percent
PoolQC,1453,99.52054794520548,1456,99.7943797121316
MiscFeature,1406,96.30136986301369,1408,96.50445510623715
Alley,1369,93.76712328767123,1352,92.66620973269363
Fence,1179,80.75342465753424,1169,80.12337217272105
MasVnrType,872,59.726027397260275,894,61.27484578478409
FireplaceQu,690,47.26027397260274,730,50.03427004797807
LotFrontage,259,17.73972602739726,227,15.558601782042494
GarageType,81,5.5479452054794525,76,5.20904729266621
GarageYrBlt,81,5.5479452054794525,78,5.346127484578479
GarageFinish,81,5.5479452054794525,78,5.346127484578479
GarageCond,81,5.5479452054794525,78,5.346127484578479
GarageQual,81,5.5479452054794525,78,5.346127484578479
BsmtExposure,38,2.6027397260273974,44,3.015764222069911
BsmtFinType2,38,2.6027397260273974,42,2.878684030157642
BsmtQual,37,2.5342465753424657,44,3.015764222069911
BsmtFinType1,37,2.5342465753424657,42,2.878684030157642
BsmtCond,37,2.5342465753424657,45,3.0843043180260454
MasVnrArea,8,0.547945205479452,15,1.0281014393420151
Electrical,1,0.0684931506849315,0,0.0
GarageArea,0,0.0,1,0.06854009595613435
TotalBsmtSF,0,0.0,1,0.06854009595613435
MSZoning,0,0.0,4,0.2741603838245374
Exterior2nd,0,0.0,1,0.06854009595613435
Exterior1st,0,0.0,1,0.06854009595613435
Utilities,0,0.0,2,0.1370801919122687
BsmtFullBath,0,0.0,2,0.1370801919122687
Functional,0,0.0,2,0.1370801919122687
BsmtUnfSF,0,0.0,1,0.06854009595613435
BsmtFinSF1,0,0.0,1,0.06854009595613435
BsmtHalfBath,0,0.0,2,0.1370801919122687
SaleType,0,0.0,1,0.06854009595613435
GarageCars,0,0.0,1,0.06854009595613435
KitchenQual,0,0.0,1,0.06854009595613435
BsmtFinSF2,0,0.0,1,0.06854009595613435
SalePrice,0,0.0,N/A,N/A
