Neighborhood,count,mean,median,std,min,max
NoRidge,41,335295.32,301500.0,121412.66,190000,755000
NridgHt,77,316270.62,315000.0,96392.54,154000,611657
StoneBr,25,310499.0,278000.0,112969.68,170000,556581
Timber,38,242247.45,228475.0,64845.65,137500,378500
Veenker,11,238772.73,218000.0,72369.32,162500,385000
Somerst,86,225379.84,225500.0,56177.56,144152,423000
ClearCr,28,212565.43,200250.0,50231.54,130000,328000
Crawfor,51,210624.73,200624.0,68866.4,90350,392500
CollgCr,150,197965.77,197200.0,51403.67,110000,424870
Blmngtn,17,194870.88,191000.0,30393.23,159895,264561
Gilbert,79,192854.51,181000.0,35986.78,141000,377500
NWAmes,73,189050.07,182900.0,37172.22,82500,299800
SawyerW,59,186555.8,179900.0,55652.0,76000,320000
Mitchel,49,156270.12,153500.0,36486.63,84500,271000
NAmes,225,145847.08,140000.0,33075.35,87500,345000
NPkVill,9,142694.44,146000.0,9377.31,127500,155000
SWISU,25,142591.36,139500.0,32622.92,60000,200000
Blueste,2,137500.0,137500.0,19091.88,124000,151000
Sawyer,74,136793.14,135000.0,22345.13,62383,190000
OldTown,113,128225.3,119000.0,52650.58,37900,475000
Edwards,100,128219.7,121750.0,43208.62,58500,320000
BrkSide,58,124834.05,124300.0,40348.69,39300,223500
BrDale,16,104493.75,106000.0,14330.18,83000,125000
IDOTRR,37,100123.78,103000.0,33376.71,34900,169500
MeadowV,17,98576.47,88000.0,23491.05,75000,151400
