Feature,count,mean,std,min,25%,50%,75%,max
Id,1460.0,730.5,421.6100093688479,1.0,365.75,730.5,1095.25,1460.0
MSSubClass,1460.0,56.897260273972606,42.300570993810425,20.0,20.0,50.0,70.0,190.0
LotFrontage,1201.0,70.04995836802665,24.284751774483208,21.0,59.0,69.0,80.0,313.0
LotArea,1460.0,10516.828082191782,9981.26493237915,1300.0,7553.5,9478.5,11601.5,215245.0
OverallQual,1460.0,6.0993150684931505,1.3829965467415934,1.0,5.0,6.0,7.0,10.0
OverallCond,1460.0,5.575342465753424,1.1127993367127316,1.0,5.0,5.0,6.0,9.0
YearBuilt,1460.0,1971.267808219178,30.202904042525258,1872.0,1954.0,1973.0,2000.0,2010.0
YearRemodAdd,1460.0,1984.8657534246574,20.645406807709413,1950.0,1967.0,1994.0,2004.0,2010.0
MasVnrArea,1452.0,103.68526170798899,181.0662065872166,0.0,0.0,0.0,166.0,1600.0
BsmtFinSF1,1460.0,443.6397260273973,456.0980908409277,0.0,0.0,383.5,712.25,5644.0
BsmtFinSF2,1460.0,46.54931506849315,161.31927280654173,0.0,0.0,0.0,0.0,1474.0
BsmtUnfSF,1460.0,567.2404109589041,441.86695529243417,0.0,223.0,477.5,808.0,2336.0
TotalBsmtSF,1460.0,1057.4294520547944,438.7053244594708,0.0,795.75,991.5,1298.25,6110.0
1stFlrSF,1460.0,1162.626712328767,386.5877380410744,334.0,882.0,1087.0,1391.25,4692.0
2ndFlrSF,1460.0,346.99246575342465,436.5284358862568,0.0,0.0,0.0,728.0,2065.0
LowQualFinSF,1460.0,5.844520547945206,48.62308143352019,0.0,0.0,0.0,0.0,572.0
GrLivArea,1460.0,1515.463698630137,525.4803834232025,334.0,1129.5,1464.0,1776.75,5642.0
BsmtFullBath,1460.0,0.42534246575342466,0.5189106060898065,0.0,0.0,0.0,1.0,3.0
BsmtHalfBath,1460.0,0.057534246575342465,0.23875264627921178,0.0,0.0,0.0,0.0,2.0
FullBath,1460.0,1.5650684931506849,0.5509158012954317,0.0,1.0,2.0,2.0,3.0
HalfBath,1460.0,0.38287671232876713,0.5028853810928914,0.0,0.0,0.0,1.0,2.0
BedroomAbvGr,1460.0,2.8664383561643834,0.8157780441442284,0.0,2.0,3.0,3.0,8.0
KitchenAbvGr,1460.0,1.0465753424657533,0.22033819838403068,0.0,1.0,1.0,1.0,3.0
TotRmsAbvGrd,1460.0,6.517808219178082,1.6253932905840505,2.0,5.0,6.0,7.0,14.0
Fireplaces,1460.0,0.613013698630137,0.6446663863122295,0.0,0.0,1.0,1.0,3.0
GarageYrBlt,1379.0,1978.5061638868744,24.689724768590242,1900.0,1961.0,1980.0,2002.0,2010.0
GarageCars,1460.0,1.7671232876712328,0.7473150101111095,0.0,1.0,2.0,2.0,4.0
GarageArea,1460.0,472.9801369863014,213.80484145338042,0.0,334.5,480.0,576.0,1418.0
WoodDeckSF,1460.0,94.2445205479452,125.3387943517241,0.0,0.0,0.0,168.0,857.0
OpenPorchSF,1460.0,46.66027397260274,66.25602767664971,0.0,0.0,25.0,68.0,547.0
EnclosedPorch,1460.0,21.954109589041096,61.1191486017286,0.0,0.0,0.0,0.0,552.0
3SsnPorch,1460.0,3.4095890410958902,29.31733055678188,0.0,0.0,0.0,0.0,508.0
ScreenPorch,1460.0,15.060958904109588,55.757415281874174,0.0,0.0,0.0,0.0,480.0
PoolArea,1460.0,2.758904109589041,40.17730694453019,0.0,0.0,0.0,0.0,738.0
MiscVal,1460.0,43.489041095890414,496.12302445794415,0.0,0.0,0.0,0.0,15500.0
MoSold,1460.0,6.321917808219178,2.7036262083595126,1.0,5.0,6.0,8.0,12.0
YrSold,1460.0,2007.8157534246575,1.3280951205521099,2006.0,2007.0,2008.0,2009.0,2010.0
SalePrice,1460.0,180921.19589041095,79442.50288288662,34900.0,129975.0,163000.0,214000.0,755000.0
