Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage_WasMissing,MasVnrArea_WasMissing,GarageYrBlt_WasMissing,TotalSF,TotalPorchSF,TotalBaths,BsmtFinishedRatio,LivingAreaRatio,HouseAge,YearsSinceRemodel,WasRemodeled,GarageAge,YearsSinceSold,HouseAgeGroup,NeighborhoodTier,QualityScore,BasementQualityScore,GarageQualityScore,RoomDensity,BathBedroomRatio,GarageLivingRatio,LotCoverageRatio,AgeQualityInteraction,MiscVal_transformed,PoolArea_transformed,LotArea_transformed,LowQualFinSF_transformed,3SsnPorch_transformed,KitchenAbvGr_transformed,BsmtFinSF2_transformed,EnclosedPorch_transformed,ScreenPorch_transformed,GarageYrBlt_transformed,BsmtHalfBath_transformed,GarageQualityScore_transformed,LivingAreaRatio_transformed,MasVnrArea_transformed,OpenPorchSF_transformed,LotCoverageRatio_transformed,TotalPorchSF_transformed,BathBedroomRatio_transformed,WoodDeckSF_transformed,TotalSF_transformed,1stFlrSF_transformed,BsmtFinSF1_transformed,MSSubClass_transformed,LotFrontage_transformed,GrLivArea_transformed,TotalBsmtSF_transformed,AgeQualityInteraction_transformed,SalePrice
1,60,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706.0,Unf,0.0,150.0,856.0,GasA,Ex,Y,SBrkr,856,854,0,1710,1.0,0.0,2,1,3,1,Gd,8,Typ,0,,Attchd,2003.0,RFn,2.0,548.0,TA,TA,Y,0,61,0,0,0,0,,,,0,2,2008,WD,Normal,0,0,0,2566.0,61,3.5,0.8247663551401869,0.2023668639053254,20,20,0,20,15,Recent (11-25),Mid_Tier,4.950000000000001,2.333333333333333,3.0,4.678362573099415,1.1666666666666667,0.3204678362573099,0.3036686390532544,99.00000000000004,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-1.7680641451404582,2.836967705336552,4.30811511600655,-1.236965091397589,6.644100775602035,0.15270349101252145,0.0,24.81373619166861,5.493233739291448,26.570660511172846,2.7438051561793673,8.06225774829855,7.108399801658721,214.05517578824063,4.697751134752798,208500
2,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.0,Unf,0.0,284.0,1262.0,GasA,Ex,Y,SBrkr,1262,0,0,1262,0.0,1.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2.0,460.0,TA,TA,Y,298,0,0,0,0,0,,,,0,5,2007,WD,Normal,0,0,0,2524.0,0,2.5,0.7749603803486529,0.1314583333333333,47,47,0,47,16,Mature (26-50),Premium,5.000000000000001,3.6666666666666665,3.0,4.754358161648177,0.8333333333333334,0.3645007923930269,0.2629166666666667,235.00000000000003,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,1.0,83.63197513277902,-2.309062799567649,2.836967705336552,0.0,-1.392813713059617,0.0,-0.18437405380918556,0.0,24.81373619166861,5.742843843496077,31.272991542223778,2.221832341815843,8.94427190999916,6.831304108685047,287.16710942725564,4.697751134752798,181500
3,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.0,Unf,0.0,434.0,920.0,GasA,Ex,Y,SBrkr,920,866,0,1786,1.0,0.0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2.0,608.0,TA,TA,Y,0,42,0,0,0,0,,,,0,9,2008,WD,Normal,0,0,0,2706.0,42,3.5,0.5282608695652173,0.1587555555555555,22,21,1,22,15,Recent (11-25),Mid_Tier,4.950000000000001,2.333333333333333,3.0,3.3594624860022395,1.1666666666666667,0.3404255319148936,0.2405333333333333,108.90000000000002,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-2.0688621897313793,2.836967705336552,3.9111268560138517,-1.4897444510366782,5.789601525030763,0.15270349101252145,0.0,24.81373619166861,5.540055825404472,22.045407685048602,2.7438051561793673,8.246211251235321,7.147981398481537,226.06867834293882,4.697751134752798,223500
4,70,RL,60.0,9550,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,Unf,0.0,540.0,756.0,GasA,Gd,Y,SBrkr,961,756,0,1717,1.0,0.0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3.0,642.0,TA,TA,Y,0,35,272,0,0,0,,,,0,2,2006,WD,Abnorml,0,0,0,2473.0,307,2.0,0.2857142857142857,0.1797905759162303,108,53,1,25,17,Historic (100+),Mid_Tier,4.7,2.333333333333333,3.0,4.076878276062901,0.6666666666666666,0.3739079790331974,0.2589528795811518,507.6,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-1.9135221406798313,2.836967705336552,3.719446553010696,-1.409324557589185,11.291046050491683,-0.41570975093437085,0.0,24.81373619166861,5.568267251033146,14.696938456699069,2.807855687746713,7.745966692414834,7.112119171644243,194.82863963580553,4.697751134752798,140000
5,60,RL,84.0,14260,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0.0,490.0,1145.0,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1.0,0.0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3.0,836.0,TA,TA,Y,192,84,0,0,0,0,,,,0,12,2008,WD,Normal,0,0,0,3343.0,84,3.5,0.5720524017467249,0.1541374474053296,23,23,0,23,15,Recent (11-25),Premium,5.250000000000001,2.333333333333333,3.0,4.094631483166515,0.875,0.3803457688808007,0.2344319775596073,120.75,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-2.1060727017265988,2.836967705336552,4.652824197110617,-1.517833605976993,7.436802760583635,-0.13463015734610392,0.0,24.81373619166861,5.680849125140933,25.592967784139454,2.7438051561793673,9.16515138991168,7.336634020393575,266.78726179041104,4.697751134752798,250000
6,50,RL,85.0,14115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732.0,Unf,0.0,64.0,796.0,GasA,Ex,Y,SBrkr,796,566,0,1362,1.0,0.0,1,1,1,1,TA,5,Typ,0,,Attchd,1993.0,Unf,2.0,480.0,TA,TA,Y,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,WD,Normal,0,0,0,2158.0,350,2.5,0.9195979899497488,0.0964930924548352,30,28,1,30,14,Mature (26-50),Mid_Tier,4.1000000000000005,2.333333333333333,3.0,3.671071953010279,2.5,0.3524229074889868,0.1528869996457669,123.0,6.55250788703459,0.0,17.222842597803265,0.0,5.771441123130016,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-2.71516158378016,2.836967705336552,3.558677650777331,-1.9917885490172318,11.745261711744021,0.8667086936375372,0.0,24.81373619166861,5.445829977552888,27.055498516937366,2.6653165319524863,9.219544457292887,6.900952045352225,202.59010711645834,4.697751134752798,143000
7,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,0.0,317.0,1686.0,GasA,Ex,Y,SBrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2.0,636.0,TA,TA,Y,255,57,0,0,0,0,,,,0,8,2007,WD,Normal,0,0,0,3380.0,57,3.0,0.8119810201660735,0.1679888932963109,19,18,1,19,16,Recent (11-25),Premium,5.3500000000000005,2.6666666666666665,3.0,4.132231404958678,1.0,0.3754427390791027,0.3351844506148353,101.65,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-1.9979859068459656,2.836967705336552,4.235540434098156,-1.1309717944854463,6.483318738481284,0.0,0.0,24.81373619166861,5.928146212909282,37.0,2.221832341815843,8.660254037844387,7.099840203025301,357.49270362124054,4.697751134752798,307000
8,60,RL,72.6,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,0,2090,1.0,0.0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,0,0,,,Shed,350,11,2009,WD,Normal,1,0,0,3197.0,432,3.5,0.8048780487804879,0.2013099595453669,50,50,0,50,14,Old (51-100),Mid_Tier,4.900000000000001,2.333333333333333,3.0,3.349282296650718,1.1666666666666667,0.231578947368421,0.307936813716047,245.00000000000009,5.860786223465865,0.0,17.222842597803265,0.0,0.0,1.0,0.6797063913840953,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-1.774457914940103,2.836967705336552,5.626597066164908,-1.221943458222537,12.502221466548782,0.15270349101252145,0.0,24.81373619166861,5.659254915507534,29.30870177950569,2.7438051561793673,8.520563361656317,7.290885179005999,260.059531549156,4.697751134752798,200000
9,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,952.0,952.0,GasA,Gd,Y,FuseF,1022,752,0,1774,0.0,0.0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2.0,468.0,Fa,TA,Y,90,0,205,0,0,0,,,,0,4,2008,WD,Abnorml,0,0,0,2726.0,205,2.0,0.0,0.2898692810457516,92,73,1,92,15,Old (51-100),Standard,4.6000000000000005,2.0,2.5,4.509582863585118,1.0,0.2638105975197294,0.4454248366013072,423.2000000000001,0.0,0.0,17.222842597803265,0.0,0.0,1.4142135623730951,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-1.339124028153597,2.836967705336552,0.0,-0.8293490567485775,9.970523089275469,0.0,0.0,24.81373619166861,5.607957377746873,0.0,2.6653165319524863,7.14142842854285,7.141846317430706,231.99780355834235,4.697751134752798,129900
10,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,140.0,991.0,GasA,Ex,Y,SBrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1.0,205.0,Gd,TA,Y,0,4,0,0,0,0,,,,0,1,2008,WD,Normal,0,0,0,2068.0,4,2.0,0.858728557013118,0.1451482479784366,84,73,1,84,15,Old (51-100),Standard,4.200000000000001,2.0,3.5,4.642525533890436,1.0,0.1903435468895079,0.2787061994609164,352.80000000000007,0.0,0.0,17.222842597803265,0.0,0.0,1.4142135623730951,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-2.182238577423449,2.836967705336552,1.6364826171007403,-1.329569867655149,1.9229149082536985,0.0,0.0,24.81373619166861,5.641642972132861,29.171904291629644,3.175998998513502,7.0710678118654755,6.686324283923625,239.15806247986492,4.697751134752798,118000
11,20,RL,70.0,11200,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,1040.0,GasA,Ex,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2008,WD,Normal,0,0,0,2080.0,0,2.0,0.8711538461538462,0.0928571428571428,58,58,0,58,15,Old (51-100),Mid_Tier,4.0,2.0,3.0,4.807692307692308,0.6666666666666666,0.3692307692307692,0.1857142857142857,232.0,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-2.7667075281081748,2.836967705336552,0.0,-1.7745661855498847,0.0,-0.41570975093437085,0.0,24.81373619166861,5.619189530526856,30.099833886584822,2.221832341815843,8.366600265340756,6.654315356821612,248.05682005315262,4.697751134752798,129500
12,60,RL,85.0,11924,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0.0,177.0,1175.0,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1.0,0.0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3.0,736.0,TA,TA,Y,147,21,0,0,0,0,,,,0,7,2006,New,Partial,0,0,0,3499.0,21,4.0,0.8493617021276596,0.1949010399194901,18,17,1,18,17,Recent (11-25),Premium,5.9,2.6666666666666665,3.0,4.733218588640275,1.0,0.3166953528399311,0.2934417980543441,106.2,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-1.8140555414497261,2.836967705336552,3.1918304861132247,-1.2738898698233616,4.388762134627516,0.0,0.0,24.81373619166861,5.701155536814143,31.591137997862628,2.7438051561793673,9.219544457292887,7.3872157589051035,272.05984353223744,4.697751134752798,345000
13,20,RL,95.2,12968,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0.0,175.0,912.0,GasA,TA,Y,SBrkr,912,0,0,912,1.0,0.0,1,0,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1.0,352.0,TA,TA,Y,140,0,0,0,176,0,,,,0,9,2008,WD,Normal,1,0,0,1824.0,176,2.0,0.8081140350877193,0.0703269586674892,61,61,0,61,15,Old (51-100),Mid_Tier,4.200000000000001,2.0,3.0,4.385964912280701,1.0,0.3859649122807017,0.1406539173349784,256.20000000000005,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-3.1471166950582754,2.836967705336552,0.0,-2.085728604424858,9.501312921289259,0.0,0.0,24.81373619166861,5.534395568610862,27.147743920996454,2.221832341815843,9.757048734120374,6.533946073447452,224.57851738825738,4.697751134752798,144000
14,20,RL,91.0,10652,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3.0,840.0,TA,TA,Y,160,33,0,0,0,0,,,,0,8,2007,New,Partial,0,0,0,2988.0,33,2.0,0.0,0.1402553511077731,17,16,1,17,16,Recent (11-25),Mid_Tier,4.950000000000001,2.333333333333333,3.0,4.685408299866132,0.6666666666666666,0.5622489959839357,0.2805107022155463,84.15000000000002,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-2.2259606332485116,2.836967705336552,3.657934116974429,-1.3225854660180099,5.275590662461655,-0.41570975093437085,0.0,24.81373619166861,5.849485041641779,0.0,2.221832341815843,9.539392014169456,6.98535453332122,326.2630622669789,4.697751134752798,279500
15,20,RL,65.0,10920,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0.0,520.0,1253.0,GasA,TA,Y,SBrkr,1253,0,0,1253,1.0,0.0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1.0,352.0,TA,TA,Y,0,213,176,0,0,0,,GdWo,,0,5,2008,WD,Normal,1,0,0,2506.0,389,2.5,0.5849960095770151,0.1147435897435897,63,63,0,63,15,Old (51-100),Mid_Tier,4.300000000000001,2.0,3.0,3.990422984836393,1.25,0.280925778132482,0.2294871794871794,270.90000000000003,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-2.485730617834174,2.836967705336552,5.674576792992355,-1.5411738855553279,12.120858798180699,0.22011953958387084,0.0,24.81373619166861,5.738296226297469,27.073972741361768,2.221832341815843,8.06225774829855,6.824764065032015,285.6164629038651,4.697751134752798,157000
