Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,LotFrontage_WasMissing,MasVnrArea_WasMissing,GarageYrBlt_WasMissing,TotalSF,TotalPorchSF,TotalBaths,BsmtFinishedRatio,LivingAreaRatio,HouseAge,YearsSinceRemodel,WasRemodeled,GarageAge,YearsSinceSold,QualityScore,BasementQualityScore,GarageQualityScore,RoomDensity,BathBedroomRatio,GarageLivingRatio,LotCoverageRatio,AgeQualityInteraction,MiscVal_transformed,PoolArea_transformed,LotArea_transformed,LowQualFinSF_transformed,3SsnPorch_transformed,KitchenAbvGr_transformed,BsmtFinSF2_transformed,EnclosedPorch_transformed,ScreenPorch_transformed,GarageYrBlt_transformed,BsmtHalfBath_transformed,GarageQualityScore_transformed,LivingAreaRatio_transformed,MasVnrArea_transformed,OpenPorchSF_transformed,LotCoverageRatio_transformed,TotalPorchSF_transformed,BathBedroomRatio_transformed,WoodDeckSF_transformed,TotalSF_transformed,1stFlrSF_transformed,BsmtFinSF1_transformed,MSSubClass_transformed,LotFrontage_transformed,GrLivArea_transformed,TotalBsmtSF_transformed,AgeQualityInteraction_transformed,Street_encoded,Alley_encoded,Utilities_encoded,CentralAir_encoded,LotFrontage_WasMissing_encoded,MasVnrArea_WasMissing_encoded,GarageYrBlt_WasMissing_encoded,Condition1_encoded,Condition2_encoded,ExterQual_encoded,ExterCond_encoded,BsmtQual_encoded,BsmtCond_encoded,BsmtFinType1_encoded,BsmtFinType2_encoded,HeatingQC_encoded,KitchenQual_encoded,FireplaceQu_encoded,GarageFinish_encoded,GarageQual_encoded,GarageCond_encoded,PoolQC_encoded,SaleCondition_encoded,Neighborhood_encoded,Exterior1st_encoded,Exterior2nd_encoded,MSSubClass_encoded,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_ClyTile,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Functional_Maj1,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,PavedDrive_N,PavedDrive_P,PavedDrive_Y,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,MiscFeature_Gar2,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,HouseAgeGroup_Historic (100+),HouseAgeGroup_Mature (26-50),HouseAgeGroup_Old (51-100),HouseAgeGroup_Recent (11-25),NeighborhoodTier_Mid_Tier,NeighborhoodTier_Premium,NeighborhoodTier_Standard,SalePrice
1,60,65.0,8450,7,5,2003,2003,196.0,706.0,0.0,150.0,856.0,856,854,0,1710,1.0,0.0,2,1,3,1,8,0,2003.0,2.0,548.0,0,61,0,0,0,0,0,2,2008,0,0,0,2566.0,61,3.5,0.8247663551401869,0.2023668639053254,20,20,0,20,15,4.950000000000001,2.333333333333333,3.0,4.678362573099415,1.1666666666666667,0.3204678362573099,0.3036686390532544,99.00000000000004,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-1.7680641451404582,2.836967705336552,4.30811511600655,-1.236965091397589,6.644100775602035,0.1527034910125214,0.0,24.81373619166861,5.493233739291448,26.570660511172846,2.7438051561793677,8.06225774829855,7.108399801658721,214.05517578824063,4.697751134752798,1,,0.0,1,0,0,0,5,5,4,3,4.0,3.0,6.0,1.0,5,4.0,,3.0,3.0,3.0,,5,196200.38727832644,214779.58038757098,216070.71346458318,240154.90929590169,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,208500
2,20,80.0,9600,6,8,1976,1976,0.0,978.0,0.0,284.0,1262.0,1262,0,0,1262,0.0,1.0,2,0,3,1,6,1,1976.0,2.0,460.0,298,0,0,0,0,0,0,5,2007,0,0,0,2524.0,0,2.5,0.7749603803486529,0.1314583333333333,47,47,0,47,16,5.000000000000001,3.6666666666666665,3.0,4.754358161648177,0.8333333333333334,0.3645007923930269,0.2629166666666667,235.00000000000003,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,1.0,83.63197513277902,-2.309062799567649,2.836967705336552,0.0,-1.392813713059617,0.0,-0.1843740538091855,0.0,24.81373619166861,5.742843843496077,31.272991542223775,2.221832341815843,8.94427190999916,6.831304108685047,287.16710942725564,4.697751134752798,1,,0.0,1,0,0,0,3,5,3,3,4.0,3.0,5.0,1.0,5,3.0,3.0,3.0,3.0,3.0,,5,197950.74743150684,149310.45999377334,149723.0465432989,186478.13647894468,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,181500
3,60,68.0,11250,7,5,2001,2002,162.0,486.0,0.0,434.0,920.0,920,866,0,1786,1.0,0.0,2,1,3,1,6,1,2001.0,2.0,608.0,0,42,0,0,0,0,0,9,2008,0,0,0,2706.0,42,3.5,0.5282608695652173,0.1587555555555555,22,21,1,22,15,4.950000000000001,2.333333333333333,3.0,3.3594624860022395,1.1666666666666667,0.3404255319148936,0.2405333333333333,108.90000000000002,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-2.0688621897313797,2.836967705336552,3.911126856013852,-1.4897444510366782,5.789601525030763,0.1527034910125214,0.0,24.81373619166861,5.540055825404472,22.0454076850486,2.7438051561793677,8.246211251235321,7.147981398481537,226.0686783429388,4.697751134752798,1,,0.0,1,0,0,0,5,5,4,3,4.0,3.0,6.0,1.0,5,4.0,3.0,3.0,3.0,3.0,,5,196200.38727832644,214779.58038757098,216070.71346458318,240154.90929590169,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,223500
4,70,60.0,9550,7,5,1915,1970,0.0,216.0,0.0,540.0,756.0,961,756,0,1717,1.0,0.0,1,0,3,1,7,1,1998.0,3.0,642.0,0,35,272,0,0,0,0,2,2006,0,0,0,2473.0,307,2.0,0.2857142857142857,0.1797905759162303,108,53,1,25,17,4.7,2.333333333333333,3.0,4.076878276062901,0.6666666666666666,0.3739079790331974,0.2589528795811518,507.6,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-1.9135221406798315,2.836967705336552,3.719446553010696,-1.409324557589185,11.291046050491683,-0.4157097509343708,0.0,24.81373619166861,5.568267251033146,14.696938456699067,2.807855687746713,7.745966692414834,7.112119171644243,194.82863963580556,4.697751134752798,1,,0.0,1,0,0,0,5,5,3,3,3.0,4.0,5.0,1.0,4,4.0,4.0,1.0,3.0,3.0,,2,209292.5705898798,146911.80436151786,171110.84102379237,171117.01682287912,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,140000
5,60,84.0,14260,8,5,2000,2000,350.0,655.0,0.0,490.0,1145.0,1145,1053,0,2198,1.0,0.0,2,1,4,1,9,1,2000.0,3.0,836.0,192,84,0,0,0,0,0,12,2008,0,0,0,3343.0,84,3.5,0.5720524017467249,0.1541374474053296,23,23,0,23,15,5.250000000000001,2.333333333333333,3.0,4.094631483166515,0.875,0.3803457688808007,0.2344319775596073,120.75,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-2.1060727017265988,2.836967705336552,4.652824197110617,-1.517833605976993,7.436802760583635,-0.1346301573461039,0.0,24.81373619166861,5.680849125140933,25.592967784139454,2.7438051561793677,9.16515138991168,7.336634020393575,266.78726179041104,4.697751134752798,1,,0.0,1,0,0,0,5,5,4,3,4.0,3.0,6.0,1.0,5,4.0,3.0,3.0,3.0,3.0,,5,307844.6502070723,213616.7330833042,214423.47035201915,237658.6924470977,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,250000
6,50,85.0,14115,5,5,1993,1995,0.0,732.0,0.0,64.0,796.0,796,566,0,1362,1.0,0.0,1,1,1,1,5,0,1993.0,2.0,480.0,40,30,0,320,0,0,700,10,2009,0,0,0,2158.0,350,2.5,0.9195979899497488,0.0964930924548352,30,28,1,30,14,4.1000000000000005,2.333333333333333,3.0,3.671071953010279,2.5,0.3524229074889868,0.1528869996457669,123.0,6.55250788703459,0.0,17.222842597803265,0.0,5.771441123130016,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-2.71516158378016,2.836967705336552,3.558677650777331,-1.991788549017232,11.74526171174402,0.8667086936375372,0.0,24.81373619166861,5.445829977552888,27.05549851693737,2.6653165319524863,9.219544457292889,6.900952045352225,202.59010711645837,4.697751134752798,1,,0.0,1,0,0,0,5,5,3,3,4.0,3.0,6.0,1.0,5,3.0,,1.0,3.0,3.0,,5,164164.85018944915,210288.65697578923,210743.62429001002,147066.4563693237,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,143000
7,20,75.0,10084,8,5,2004,2005,186.0,1369.0,0.0,317.0,1686.0,1694,0,0,1694,1.0,0.0,2,0,3,1,7,1,2004.0,2.0,636.0,255,57,0,0,0,0,0,8,2007,0,0,0,3380.0,57,3.0,0.8119810201660735,0.1679888932963109,19,18,1,19,16,5.3500000000000005,2.6666666666666665,3.0,4.132231404958678,1.0,0.3754427390791027,0.3351844506148353,101.65,0.0,0.0,17.222842597803265,0.0,0.0,1.0,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-1.9979859068459656,2.836967705336552,4.235540434098156,-1.1309717944854465,6.483318738481284,0.0,0.0,24.81373619166861,5.928146212909282,37.0,2.221832341815843,8.660254037844387,7.099840203025301,357.49270362124054,4.697751134752798,1,,0.0,1,0,0,0,5,5,4,3,5.0,3.0,6.0,1.0,5,4.0,4.0,3.0,3.0,3.0,,5,220691.3994520548,214779.58038757098,216070.71346458318,185015.5843810596,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,307000
8,60,72.6,10382,7,6,1973,1973,240.0,859.0,32.0,216.0,1107.0,1107,983,0,2090,1.0,0.0,2,1,3,1,7,2,1973.0,2.0,484.0,235,204,228,0,0,0,350,11,2009,1,0,0,3197.0,432,3.5,0.8048780487804879,0.2013099595453669,50,50,0,50,14,4.900000000000001,2.333333333333333,3.0,3.349282296650718,1.1666666666666667,0.231578947368421,0.307936813716047,245.00000000000009,5.860786223465865,0.0,17.222842597803265,0.0,0.0,1.0,0.6797063913840953,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-1.774457914940103,2.836967705336552,5.626597066164908,-1.221943458222537,12.502221466548782,0.1527034910125214,0.0,24.81373619166861,5.659254915507534,29.30870177950569,2.7438051561793677,8.520563361656317,7.290885179005999,260.059531549156,4.697751134752798,1,,0.0,1,1,0,0,8,5,3,3,4.0,3.0,5.0,4.0,5,3.0,3.0,3.0,3.0,3.0,,5,186994.3670427075,163193.1254584924,166991.71740531828,240154.90929590169,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,200000
9,50,51.0,6120,7,5,1931,1950,0.0,0.0,0.0,952.0,952.0,1022,752,0,1774,0.0,0.0,2,0,2,2,8,2,1931.0,2.0,468.0,90,0,205,0,0,0,0,4,2008,0,0,0,2726.0,205,2.0,0.0,0.2898692810457516,92,73,1,92,15,4.6000000000000005,2.0,2.5,4.509582863585118,1.0,0.2638105975197294,0.4454248366013072,423.2000000000001,0.0,0.0,17.222842597803265,0.0,0.0,1.4142135623730951,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-1.339124028153597,2.836967705336552,0.0,-0.8293490567485775,9.970523089275469,0.0,0.0,24.81373619166861,5.607957377746873,0.0,2.6653165319524863,7.14142842854285,7.141846317430706,231.99780355834235,4.697751134752798,1,,0.0,1,0,0,0,1,5,3,3,3.0,3.0,1.0,1.0,4,3.0,3.0,1.0,2.0,3.0,,2,131341.99959311,188015.55018171654,157309.28099754127,146240.43045310854,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,129900
10,190,50.0,7420,5,6,1939,1950,0.0,851.0,0.0,140.0,991.0,1077,0,0,1077,1.0,0.0,1,0,2,2,5,2,1939.0,1.0,205.0,0,4,0,0,0,0,0,1,2008,0,0,0,2068.0,4,2.0,0.858728557013118,0.1451482479784366,84,73,1,84,15,4.200000000000001,2.0,3.5,4.642525533890436,1.0,0.1903435468895079,0.2787061994609164,352.80000000000007,0.0,0.0,17.222842597803265,0.0,0.0,1.4142135623730951,-0.0,0.0,0.0,35765132.1566755,0.0,83.63197513277902,-2.182238577423449,2.836967705336552,1.6364826171007405,-1.329569867655149,1.9229149082536985,0.0,0.0,24.81373619166861,5.641642972132861,29.171904291629644,3.175998998513502,7.071067811865476,6.686324283923625,239.15806247986487,4.697751134752798,1,,0.0,1,0,0,0,1,2,3,3,3.0,3.0,6.0,1.0,5,3.0,3.0,3.0,4.0,3.0,,5,135865.79167743603,150367.16645911167,150907.76662644616,149715.51390618514,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,118000
