iter	Passed	Remaining
0	14	14714
1	26	13375
2	36	12244
3	47	11951
4	58	11580
5	74	12325
6	81	11618
7	91	11347
8	104	11547
9	115	11401
10	120	10804
11	130	10760
12	142	10825
13	153	10814
14	169	11142
15	184	11342
16	196	11390
17	207	11334
18	228	11822
19	242	11900
20	251	11715
21	267	11882
22	278	11820
23	289	11790
24	304	11882
25	316	11869
26	327	11784
27	341	11864
28	351	11780
29	360	11666
30	370	11583
31	381	11531
32	390	11452
33	400	11371
34	413	11406
35	429	11488
36	441	11479
37	449	11381
38	463	11417
39	474	11387
40	483	11308
41	493	11260
42	501	11165
43	513	11149
44	525	11152
45	536	11134
46	552	11195
47	561	11131
48	569	11055
49	576	10956
50	589	10969
51	599	10922
52	606	10841
53	616	10805
54	628	10791
55	641	10808
56	650	10758
57	663	10777
58	672	10722
59	682	10691
60	691	10646
61	701	10606
62	713	10610
63	722	10563
64	734	10567
65	744	10536
66	754	10509
67	765	10495
68	772	10425
69	781	10387
70	789	10327171	800	10317272	811	103173	952	11921
74	967	11936
75	978	11895
76	989	11858
77	999	11816
78	1012	11799
79	1024	11781
80	1038	11783881	1050	11768282	1064	11783	83	1077	1184	984	1090	185	9685	1101	11703
86	111287	992	87	1127	11682
88	1138	11653
89	1151	11643
90	1164	11629
91	1178	11627
92	1191	11624
93	1204	11605
94	1213	11556
95	1222	11513
96	12397	1113	97	1246	11474
98	1262	11489
99	1273	11463
100	1287	11458
101	1297	11426
102	1310	11410
103	1320	11380
104	133105	1215105	134106	1231106	135107	1244107	136108	1268	10367
109	1283	10388
110	1297	10390
111	1316	10438
112	1330	10446
113	1342	10433
114	1352114	147115	1361115	148116	1373116	149117	1384117	150118	1394118	152119	1407119	153120	1417120	154121	1429121	155122	1440122	157123	1454123	158124	1463124	1596	11177
125	1611	11176
126	1624	11164
127	1639	11172
128	1655	11175
129	1669	11171
130	1680	11147
131	1698	11171
132	1712	11166
133	1724	11145
134	1731	11095
135	1742	11072
136	1752	11037
137	1763	11015
138	1778	11015
139	1792	11010
140	1802	10980
141	1811	10945
142	1824	10934
143	1842	10951
144	1856	10945
145	1865	10909
146	1877	10895
147	1888	10873
148	1904	10877
149	1916	10858
150	1927	10835
151	1936	10803
152	1948	10788
153	1957	10753
154	1968	10729
155	1979	10707
156	1993	10702
157	2002	10674
158	2012	10644
159	2023	10623
160	2040	10631
161	2051	10611
162	2067	10614
163	2078	10596
164	2091	10584
165	2103	10570
166	2117	10564
167	2127	10535
168	2144	10545
169	2166	10578
170	2177	10556
171	2189	10541
172	2206	10547
173	2216	10524
174	2231	10521
175	2245	10513
176	2254	10482
177	2265	10461
178	2277	10446
179	2292	10442
180	2306	10436
181	2318	10420
182	2334	10421
183	2350	10421
184	2363	10412
185	2380	10417
186	2392	10401
187	2405	10389
188	2420	10387
189	2428	10353
190	2441	10339
191	2457	10343
192	2471	10335
193	2488	10339
194	2504	10338
195	2516	10324
196	2527	10301
197	2539	10285
198	2555	10287
199	2570	10282
200	2582	10266
201	2596	10257
202	2607	10237
203	2622	10233
204	2635	10220
205	2650	10214
206	2663	10203
207	2676	10191
208	2687	10170
209	2701	10163
210	2713	10145
211	2728	10141
212	2744	10138
213	2755	10121
